,district,R,Rproj
0,Amritsar,2.2424533248939964,3.9818879797455917
1,Bathinda,1.4997956314369159,2.1995095154485984
2,Faridkot,,
3,Fatehgarh Sahib,0.058954603233670744,-1.2585089522391903
4,Gurdaspur,0.6107500409338673,0.06580009824128141
5,Hoshiarpur,1.4536416632542304,2.0887399918101526
6,Jalandhar,-0.6417071730028832,-2.9400972152069196
7,Kapurthala,-0.1228636598377455,-1.6948727836105895
8,Ludhiana,2.5143870403776414,4.634528896906339
9,Mansa,,
10,Moga,0.45741256642478545,-0.3022098405805149
11,Patiala,4.52706288574519,9.464950925788457
12,Rupnagar,0.011371895896710282,-1.3727074498478955
13,Sangrur,-2.015342630130603,-6.236822312313447
